Timestamp,Do you consent to participate in this academic research survey?,Age,"Program or Field of Study (e.g., BSc CSIT, BBA, MBBS, etc.)", Current Year of Study,Living Situation,Current CGPA(average GPA that you remember) or Overall CGPA (if graduated),Have you ever given compart exam or repeated course?,Average attendance in semesters till now,Daily study hours (outside class including the time of assignments and projects),I revise class materials regularly,Rate your faculty's academic teaching capability,"Use of online platforms (YouTube, Coursera, etc.)",How often do you do group studies?,Do you ask for help with teachers while facing academic difficulties?,Stress level regarding academics,Average sleep per night,Do you feel supported by friends or family in your academics?,How is your friend circle academically?,Estimated monthly household income (NPR),Are you the first in your family to attend university?,Do you work a part-time job while studying?,How much does financial pressure affect your studies?,Do family responsibilities affect your study time?,I am confident I will complete my degree,I feel motivated to do well in university,Anything else you'd like to share about your academic experience or challenges?,Column 28
06/03/2025 23:30:24,Yes,28,CE,4th,At home with family,3.32,Yes,>90%,1 to 2,4,4,Frequently,Sometimes,Rarely,1,5–6 hrs,Frequently,5,">50,000",Yes,No,5,Sometimes,4,1,,
05/14/2025 10:45:01,Yes,22,Mechanical Engineering,4th,At home with family,2.91,No,75%–90%,<1,3,3,Frequently,Rarely,"Yes, regularly",4,6–7 hrs,Never,5,"15,000–30,000",Yes,No,5,Rarely,4,5,Group projects can be challenging with uneven participation.,
06/23/2025 19:35:27,Yes,23,Computer Engineering,Graduated,Rented/shared room,3.39,No,>90%,1 to 2,2,3,Rarely,Sometimes,Sometimes,5,6–7 hrs,Never,4,"<15,000",No,No,3,No,5,1,Finding time for self-study alongside assignments is tough.,
07/04/2025 19:34:53,Yes,25,Computer science,Graduated,At home with family,3.37,No,50%–75%,3 to 4,5,3,Sometimes,Never,Rarely,3,<5 hrs,Sometimes,4,">50,000",No,No,2,No,2,5,Lack of industry exposure in curriculum is concerning.,
06/12/2025 12:36:08,Yes,30,Nursing,4th,Hostel,3.75,No,>90%,3 to 4,4,2,Never,Sometimes,"Yes, regularly",5,>8 hrs,Always,5,">50,000",No,No,5,Significantly,5,3,,
07/18/2025 03:05:17,Yes,41,CS,Graduated,Hostel,3.65,Yes,75%–90%,<1,3,2,Always,Rarely,No,1,5–6 hrs,Always,4,">50,000",No,No,5,Rarely,5,4,,
06/19/2025 18:45:39,Yes,22,BA.LLB,3rd,At home with family,3.84,No,>90%,1 to 2,1,3,Sometimes,Frequently,Rarely,5,7–8 hrs,Never,4,"30,000–50,000",No,No,2,Sometimes,4,4,,
07/18/2025 07:09:54,Yes,22,BSc,Graduated,At home with family,3.98,No,50%–75%,1 to 2,2,5,Frequently,Rarely,"Yes, regularly",3,<5 hrs,Sometimes,5,"30,000–50,000",No,No,3,Rarely,5,2,Stay focused on your goals.,
06/09/2025 08:25:57,Yes,22,BCA,3rd,At home with family,3.23,Yes,>90%,2 to 3,1,3,Always,Frequently,No,5,6–7 hrs,Always,1,">50,000",No,No,1,Rarely,5,5,,
07/16/2025 19:24:25,Yes,24,MPhil,3rd,Rented/shared room,3.74,Yes,50%–75%,<1,2,1,Rarely,Never,Sometimes,5,5–6 hrs,Sometimes,5,">50,000",No,No,4,Significantly,3,2,,
06/12/2025 17:24:45,Yes,23,BBA,Graduated,Rented/shared room,3.33,No,75%–90%,2 to 3,1,1,Frequently,Rarely,Sometimes,5,5–6 hrs,Always,5,"30,000–50,000",No,No,5,Rarely,4,5,Faculty support varies greatly across departments.,
07/20/2025 03:34:36,Yes,21,MBBS,4th,Rented/shared room,3.8,No,75%–90%,<1,1,4,Always,Sometimes,Rarely,1,6–7 hrs,Always,4,">50,000",Yes,No,2,Significantly,1,3,,
07/09/2025 04:08:09,Yes,29,Civil Engineering,4th,Rented/shared room,3.77,No,75%–90%,<1,2,1,Sometimes,Never,"Yes, regularly",5,5–6 hrs,Sometimes,3,"30,000–50,000",Yes,Yes,5,Rarely,5,5,,
07/27/2025 12:19:00,Yes,18,Bpt,Graduated,At home with family,3.25,No,50%–75%,<1,1,2,Always,Never,Rarely,3,6–7 hrs,Sometimes,4,"15,000–30,000",Yes,No,3,Rarely,5,4,,
05/19/2025 04:17:36,Yes,23,BPT,Graduated,At home with family,2.41,Yes,50%–75%,1 to 2,1,3,Frequently,Never,Rarely,1,5–6 hrs,Rarely,3,"30,000–50,000",Yes,No,1,Significantly,3,2,,
05/18/2025 13:43:59,Yes,45,Nursing,4th,Alone,3.47,No,>90%,<1,3,3,Always,Sometimes,Rarely,5,7–8 hrs,Frequently,3,">50,000",Yes,No,1,Rarely,5,1,,
07/26/2025 15:59:15,Yes,22,Geomatics Engineering,Graduated,Alone,3.66,No,>90%,3 to 4,2,4,Rarely,Rarely,"Yes, regularly",1,5–6 hrs,Always,5,">50,000",No,No,4,Sometimes,3,1,,
06/10/2025 06:27:18,Yes,20,BBM LLB,5th,Other,3.59,No,75%–90%,1 to 2,5,5,Rarely,Rarely,Rarely,5,6–7 hrs,Frequently,1,"30,000–50,000",Yes,No,5,Sometimes,3,3,,
07/24/2025 15:19:42,Yes,22,B.Sc,Graduated,At home with family,3.48,Yes,75%–90%,2 to 3,1,2,Frequently,Rarely,Rarely,4,>8 hrs,Frequently,5,"30,000–50,000",No,Yes,3,Sometimes,3,4,Limited access to research opportunities is demotivating.,
06/16/2025 03:17:48,Yes,41,BBM LLB,2nd,At home with family,2.98,Yes,>90%,<1,1,4,Rarely,Sometimes,Sometimes,3,7–8 hrs,Always,5,">50,000",No,No,1,Rarely,5,5,,
06/08/2025 03:01:53,Yes,40,ME,4th,Rented/shared room,2.93,No,75%–90%,1 to 2,5,3,Sometimes,Rarely,No,1,6–7 hrs,Always,4,"30,000–50,000",No,No,4,Significantly,5,4,,
07/02/2025 19:35:36,Yes,30,B.E,4th,Rented/shared room,3.27,No,<50%,1 to 2,1,2,Sometimes,Sometimes,Sometimes,2,6–7 hrs,Always,4,"15,000–30,000",No,No,5,No,4,4,Limited access to research opportunities is demotivating.,
06/12/2025 12:47:25,Yes,20,BPT,4th,Alone,3.4,No,>90%,2 to 3,4,5,Rarely,Never,No,2,7–8 hrs,Always,5,">50,000",Yes,No,4,Rarely,5,2,,
07/29/2025 17:59:01,Yes,22,BSc,Graduated,At home with family,3.65,No,50%–75%,2 to 3,2,2,Rarely,Rarely,No,5,7–8 hrs,Frequently,1,"30,000–50,000",No,No,1,Sometimes,5,5,,
06/21/2025 10:27:57,Yes,22,Mechanical Engineering,Graduated,Hostel,2.65,No,>90%,<1,2,4,Frequently,Frequently,No,3,6–7 hrs,Always,2,"<15,000",No,No,3,Rarely,5,5,,
05/23/2025 17:17:50,Yes,21,CA,Graduated,Other,3.14,No,75%–90%,<1,1,4,Frequently,Rarely,Sometimes,2,6–7 hrs,Sometimes,4,">50,000",No,No,3,No,4,5,,
07/28/2025 17:08:45,Yes,23,Computer Engineering,4th,Other,3.05,Yes,<50%,<1,4,2,Frequently,Rarely,"Yes, regularly",5,7–8 hrs,Never,5,">50,000",No,No,2,Sometimes,5,5,Consistency is the key to success.,
05/26/2025 06:31:45,Yes,21,BIM,2nd,Rented/shared room,3.67,Yes,75%–90%,1 to 2,3,3,Rarely,Sometimes,Rarely,5,<5 hrs,Always,2,"30,000–50,000",No,No,4,Significantly,5,4,,
06/08/2025 06:23:55,Yes,21,Computer Engineering,3rd,Rented/shared room,2.83,No,75%–90%,2 to 3,3,1,Always,Rarely,Rarely,4,5–6 hrs,Frequently,5,">50,000",Yes,No,3,Sometimes,5,3,None,
06/16/2025 04:19:12,Yes,23,ENE,4th,Rented/shared room,3.41,No,75%–90%,1 to 2,3,1,Never,Never,No,5,5–6 hrs,Frequently,4,"15,000–30,000",Yes,No,1,No,5,4,,
07/22/2025 08:13:01,Yes,19,CM,Graduated,Hostel,2.55,No,50%–75%,1 to 2,1,1,Sometimes,Sometimes,Rarely,3,6–7 hrs,Always,3,"30,000–50,000",No,No,4,Sometimes,5,4,,
07/24/2025 02:56:53,Yes,22,BCE,4th,Alone,3.78,No,>90%,<1,1,1,Never,Frequently,No,1,>8 hrs,Sometimes,4,">50,000",No,Yes,5,Rarely,5,3,,
06/16/2025 11:18:13,Yes,22,MBA,2nd,Hostel,3.8,No,75%–90%,3 to 4,5,4,Frequently,Rarely,Sometimes,3,7–8 hrs,Frequently,5,">50,000",No,Yes,2,Significantly,4,5,,
07/26/2025 00:14:44,Yes,23,MPPM,1st,Rented/shared room,3.36,Yes,>90%,1 to 2,3,1,Always,Sometimes,Rarely,5,7–8 hrs,Always,1,"15,000–30,000",Yes,Yes,5,No,5,5,,
06/09/2025 23:36:04,Yes,24,BBA,Graduated,Alone,3.05,No,<50%,<1,1,4,Frequently,Frequently,Sometimes,2,<5 hrs,Never,5,"30,000–50,000",Yes,No,2,Significantly,3,3,,
06/04/2025 22:46:03,Yes,25,B.Tech,Graduated,At home with family,3.72,No,75%–90%,<1,1,4,Sometimes,Sometimes,Rarely,4,5–6 hrs,Always,4,">50,000",No,Yes,5,No,3,3,,
05/31/2025 05:25:30,Yes,23,LLB,4th,At home with family,2.96,Yes,50%–75%,2 to 3,3,2,Rarely,Sometimes,Sometimes,5,6–7 hrs,Always,4,"15,000–30,000",Yes,No,4,Sometimes,5,5,,
07/12/2025 11:24:30,Yes,21,ME,4th,Alone,3.62,No,>90%,1 to 2,2,4,Sometimes,Sometimes,Rarely,5,6–7 hrs,Always,1,"15,000–30,000",Yes,Yes,5,No,5,4,,
07/23/2025 08:15:36,Yes,26,BBA,Graduated,Rented/shared room,3.18,No,50%–75%,>4,2,3,Sometimes,Sometimes,Rarely,4,6–7 hrs,Always,3,">50,000",No,No,4,Sometimes,5,4,,
06/15/2025 14:16:00,Yes,21,Nursing,4th,Rented/shared room,3.82,No,>90%,<1,5,4,Frequently,Never,Rarely,2,6–7 hrs,Frequently,5,"<15,000",No,No,5,No,5,3,Consistency is the key to success.,
05/28/2025 01:48:58,Yes,22,GE,Graduated,Rented/shared room,3.69,No,50%–75%,2 to 3,4,2,Always,Sometimes,No,5,>8 hrs,Rarely,3,"<15,000",No,No,5,Rarely,4,4,,
05/28/2025 19:11:48,Yes,22,Computer science,4th,At home with family,3.04,No,50%–75%,<1,2,4,Rarely,Sometimes,Rarely,2,6–7 hrs,Sometimes,1,">50,000",No,No,2,No,5,3,,
06/14/2025 04:25:22,Yes,27,BCE,3rd,At home with family,3.44,No,>90%,<1,1,4,Frequently,Never,Sometimes,5,<5 hrs,Sometimes,4,"15,000–30,000",No,No,2,No,5,1,,
06/10/2025 20:21:26,Yes,22,GE,Graduated,Rented/shared room,3.66,No,75%–90%,1 to 2,1,5,Never,Sometimes,"Yes, regularly",2,7–8 hrs,Always,1,"30,000–50,000",Yes,No,4,Sometimes,5,3,,
05/13/2025 14:40:34,Yes,23,BBM LLB,Graduated,At home with family,3.24,No,>90%,1 to 2,2,4,Sometimes,Rarely,No,2,5–6 hrs,Always,4,"15,000–30,000",No,No,5,Sometimes,3,4,,
07/15/2025 21:41:26,Yes,24,ENE,Graduated,Hostel,3.53,Yes,>90%,1 to 2,1,4,Frequently,Rarely,Rarely,4,6–7 hrs,Rarely,2,"30,000–50,000",No,No,3,Sometimes,4,5,Balancing work and studies is challenging but rewarding.,
07/09/2025 04:23:16,Yes,24,Civil Engineering,Graduated,Hostel,3.9,No,>90%,2 to 3,4,2,Rarely,Frequently,No,3,7–8 hrs,Never,3,">50,000",No,Yes,5,No,5,3,,
06/02/2025 09:52:26,Yes,20,Btech AI,3rd,At home with family,3.53,No,75%–90%,<1,1,4,Frequently,Never,Rarely,4,6–7 hrs,Never,5,"30,000–50,000",Yes,No,4,Rarely,1,3,,
07/22/2025 14:20:24,Yes,23,BBIS,4th,Rented/shared room,3.12,No,>90%,<1,3,1,Sometimes,Sometimes,Sometimes,3,5–6 hrs,Rarely,4,"15,000–30,000",No,No,1,Sometimes,5,3,,
06/14/2025 23:53:22,Yes,28,BE,1st,Rented/shared room,3.84,No,>90%,1 to 2,3,3,Never,Sometimes,Rarely,4,6–7 hrs,Sometimes,5,">50,000",No,No,2,Rarely,3,3,Not enough focus on skill development beyond theoretical knowledge.,
06/10/2025 13:14:50,Yes,22,MBBS,4th,Hostel,3.33,Yes,>90%,<1,3,2,Always,Sometimes,No,3,<5 hrs,Always,1,"30,000–50,000",Yes,No,4,Rarely,5,4,,
05/21/2025 02:53:23,Yes,23,Geomatics Engineering,Graduated,Alone,3.71,Yes,>90%,<1,2,3,Frequently,Sometimes,Sometimes,5,6–7 hrs,Always,4,"30,000–50,000",No,No,1,No,5,3,,
07/20/2025 15:44:38,Yes,22,B.Tech in AI,4th,Rented/shared room,3.45,No,>90%,>4,2,2,Sometimes,Sometimes,"Yes, regularly",3,7–8 hrs,Frequently,5,"<15,000",No,Yes,2,Rarely,5,5,Family expectations create additional pressure to perform well.,
05/14/2025 03:18:27,Yes,18,GE,4th,Hostel,4.0,No,>90%,3 to 4,1,1,Sometimes,Sometimes,No,3,>8 hrs,Always,5,"15,000–30,000",No,Yes,3,Significantly,3,4,,
06/02/2025 02:45:10,Yes,23,GE,4th,Other,3.52,No,>90%,1 to 2,1,2,Sometimes,Sometimes,No,5,6–7 hrs,Always,3,"15,000–30,000",No,Yes,2,Rarely,5,2,,
05/13/2025 02:18:23,Yes,27,ME,4th,Rented/shared room,4.0,No,>90%,3 to 4,2,4,Sometimes,Never,No,4,5–6 hrs,Always,1,">50,000",No,No,1,No,4,5,,
06/28/2025 22:23:20,Yes,25,Nursing,4th,At home with family,4.0,No,75%–90%,<1,2,3,Never,Rarely,Sometimes,5,<5 hrs,Always,4,"<15,000",No,Yes,3,No,1,4,,
07/21/2025 17:47:58,Yes,20,BA.LLB,4th,Hostel,3.23,No,<50%,2 to 3,3,2,Frequently,Rarely,"Yes, regularly",4,7–8 hrs,Always,5,"30,000–50,000",Yes,No,3,Rarely,5,5,,
06/25/2025 18:43:24,Yes,35,Computer Engineering,4th,At home with family,3.37,No,75%–90%,<1,2,3,Sometimes,Sometimes,Sometimes,5,>8 hrs,Always,5,"15,000–30,000",No,No,3,Sometimes,4,5,,
07/23/2025 22:57:44,Yes,22,B.A.LLB,Graduated,Hostel,3.05,Yes,>90%,>4,4,3,Frequently,Rarely,"Yes, regularly",3,6–7 hrs,Always,5,">50,000",No,No,4,No,5,1,The pressure to maintain high grades affects mental well-being.,
07/20/2025 09:02:15,Yes,18,MBS,1st,At home with family,3.8,No,75%–90%,1 to 2,1,1,Frequently,Rarely,No,4,>8 hrs,Always,1,">50,000",No,No,3,Rarely,5,5,,
05/31/2025 13:09:56,Yes,24,B.Tech,4th,Hostel,3.48,Yes,>90%,1 to 2,2,2,Frequently,Never,Rarely,4,7–8 hrs,Always,1,"30,000–50,000",No,No,5,Significantly,5,4,,
07/30/2025 10:26:56,Yes,23,BPT,4th,At home with family,3.42,No,>90%,1 to 2,1,4,Never,Sometimes,"Yes, regularly",4,5–6 hrs,Sometimes,5,"15,000–30,000",No,No,4,Significantly,5,4,,
06/18/2025 21:05:15,Yes,23,Civil Engineering,4th,Alone,3.22,No,50%–75%,<1,1,3,Rarely,Rarely,"Yes, regularly",4,5–6 hrs,Sometimes,4,"<15,000",No,Yes,4,No,5,4,Success comes to those who persevere.,
06/18/2025 14:32:04,Yes,23,Btech AI,3rd,Rented/shared room,3.57,No,75%–90%,2 to 3,1,4,Never,Never,No,1,6–7 hrs,Never,2,"15,000–30,000",No,Yes,4,Rarely,4,2,,
07/29/2025 17:18:31,Yes,25,BCA,Graduated,Hostel,3.64,No,50%–75%,1 to 2,2,4,Frequently,Sometimes,Rarely,3,7–8 hrs,Never,2,">50,000",No,No,5,No,5,3,,
07/16/2025 17:17:39,Yes,24,Mechanical Engineering,2nd,Hostel,3.69,No,50%–75%,3 to 4,1,4,Sometimes,Frequently,Sometimes,3,<5 hrs,Frequently,5,"15,000–30,000",No,Yes,3,Significantly,5,5,,
06/10/2025 09:30:07,Yes,24,CA,4th,Rented/shared room,3.26,No,75%–90%,<1,4,4,Always,Never,Rarely,2,7–8 hrs,Rarely,4,"<15,000",No,No,4,Significantly,5,2,,
06/25/2025 03:21:21,Yes,24,EMBA,4th,Alone,3.85,No,<50%,1 to 2,2,1,Sometimes,Sometimes,Sometimes,2,>8 hrs,Always,4,"30,000–50,000",No,No,1,Sometimes,4,5,Group projects can be challenging with uneven participation.,
06/17/2025 08:10:38,Yes,22,BCA,Graduated,Hostel,4.0,No,75%–90%,1 to 2,5,2,Rarely,Never,Rarely,4,5–6 hrs,Frequently,1,">50,000",Yes,No,1,No,1,5,,
05/17/2025 03:32:40,Yes,22,BSc,Graduated,At home with family,3.37,Yes,>90%,1 to 2,1,1,Sometimes,Never,Rarely,3,7–8 hrs,Always,3,"30,000–50,000",No,No,1,Sometimes,2,1,,
07/16/2025 15:19:01,Yes,25,Nursing,4th,At home with family,3.35,No,>90%,<1,1,2,Frequently,Frequently,Rarely,5,7–8 hrs,Always,5,"15,000–30,000",No,No,1,No,5,5,,
05/13/2025 07:35:33,Yes,22,Mechanical Engineering,Graduated,At home with family,3.08,Yes,>90%,1 to 2,4,3,Frequently,Rarely,Sometimes,3,6–7 hrs,Always,3,">50,000",No,No,2,No,5,4,,
06/27/2025 12:49:32,Yes,19,ME,5th,Other,3.2,No,50%–75%,<1,1,1,Frequently,Frequently,"Yes, regularly",4,7–8 hrs,Frequently,5,"15,000–30,000",No,No,3,Rarely,5,4,,
07/17/2025 04:39:52,Yes,23,B.Tech in AI,4th,At home with family,3.99,Yes,50%–75%,3 to 4,1,3,Frequently,Rarely,"Yes, regularly",1,>8 hrs,Always,5,"15,000–30,000",No,Yes,1,Sometimes,5,3,,
06/02/2025 14:00:30,Yes,23,LLB,Graduated,Hostel,3.79,Yes,>90%,<1,1,1,Frequently,Rarely,Rarely,4,<5 hrs,Always,1,"<15,000",No,No,4,Sometimes,5,2,,
07/14/2025 17:53:48,Yes,22,Btech AI,4th,Hostel,3.02,No,>90%,3 to 4,5,5,Frequently,Rarely,Sometimes,3,5–6 hrs,Never,2,"15,000–30,000",No,No,3,No,5,3,,
05/16/2025 14:42:45,Yes,22,Mechanical Engineering,Graduated,Rented/shared room,3.93,No,>90%,<1,4,4,Sometimes,Sometimes,No,2,6–7 hrs,Sometimes,1,"30,000–50,000",Yes,No,2,Sometimes,3,5,,
06/18/2025 05:42:00,Yes,45,BCA,4th,Rented/shared room,2.8,No,<50%,3 to 4,2,3,Sometimes,Never,Sometimes,2,5–6 hrs,Always,3,"<15,000",No,Yes,4,Significantly,5,4,,
06/23/2025 17:57:04,Yes,22,Bpt,4th,Rented/shared room,3.54,No,50%–75%,<1,2,1,Sometimes,Never,Sometimes,2,<5 hrs,Frequently,1,"15,000–30,000",No,No,3,Significantly,5,1,Outdated teaching methodologies need revision.,
05/18/2025 02:26:24,Yes,26,Computer Engineering,4th,At home with family,3.02,Yes,>90%,2 to 3,4,5,Rarely,Rarely,Sometimes,1,6–7 hrs,Always,4,">50,000",No,No,3,Sometimes,4,4,,
06/04/2025 21:34:04,Yes,29,LLB,4th,Hostel,3.73,No,50%–75%,1 to 2,4,3,Always,Rarely,No,5,6–7 hrs,Sometimes,3,"30,000–50,000",No,No,5,Rarely,5,4,,
06/12/2025 13:39:49,Yes,25,BIM,4th,Rented/shared room,2.92,No,>90%,<1,4,3,Always,Frequently,Sometimes,4,7–8 hrs,Sometimes,2,"<15,000",No,No,5,Rarely,4,5,Faculty support varies greatly across departments.,
06/16/2025 02:33:58,Yes,22,BSc,5th,At home with family,3.69,No,>90%,1 to 2,4,3,Frequently,Frequently,Rarely,2,5–6 hrs,Sometimes,2,"30,000–50,000",Yes,No,2,No,4,5,Financial constraints make it hard to focus fully on academics.,
05/27/2025 02:19:16,Yes,23,B.Tech in AI,Graduated,Rented/shared room,3.48,Yes,50%–75%,<1,4,3,Frequently,Frequently,Rarely,3,5–6 hrs,Always,4,"<15,000",No,No,5,No,2,4,,
05/20/2025 02:40:38,Yes,23,BSc.CS,4th,Hostel,3.67,Yes,>90%,<1,3,2,Sometimes,Sometimes,"Yes, regularly",4,>8 hrs,Always,3,">50,000",No,No,2,Rarely,5,3,,
07/28/2025 20:17:22,Yes,24,CE,4th,Rented/shared room,3.3,Yes,>90%,<1,2,3,Frequently,Sometimes,Sometimes,4,6–7 hrs,Sometimes,4,">50,000",No,Yes,2,Significantly,5,3,,
05/27/2025 15:41:03,Yes,23,Environmental Engineering,4th,Alone,2.73,Yes,75%–90%,<1,5,2,Rarely,Sometimes,Rarely,5,5–6 hrs,Always,5,">50,000",No,No,2,Significantly,5,1,,
06/18/2025 06:29:24,Yes,26,BSc,Graduated,Other,2.74,No,>90%,<1,3,3,Sometimes,Sometimes,Sometimes,4,6–7 hrs,Sometimes,4,"30,000–50,000",No,No,1,Sometimes,4,4,,
05/15/2025 06:41:54,Yes,22,B.E,Graduated,Other,3.48,No,>90%,<1,3,1,Frequently,Frequently,Sometimes,4,6–7 hrs,Frequently,5,"15,000–30,000",No,No,1,Significantly,5,5,,
07/08/2025 18:36:00,Yes,22,ENE,4th,At home with family,3.42,No,>90%,<1,1,1,Sometimes,Rarely,Rarely,2,6–7 hrs,Sometimes,2,">50,000",Yes,No,3,Rarely,5,1,Faculty support varies greatly across departments.,
07/23/2025 01:12:53,Yes,22,CS,4th,At home with family,3.29,Yes,>90%,3 to 4,3,2,Frequently,Never,Rarely,4,6–7 hrs,Rarely,5,"15,000–30,000",No,No,3,Rarely,5,4,,
06/25/2025 17:50:39,Yes,21,LLB,Graduated,Alone,3.33,No,50%–75%,1 to 2,2,4,Frequently,Sometimes,Rarely,4,<5 hrs,Rarely,3,"15,000–30,000",No,No,5,Rarely,4,5,None,
06/01/2025 02:53:53,Yes,21,Bpt,4th,At home with family,4.0,No,75%–90%,3 to 4,1,4,Always,Sometimes,Rarely,5,5–6 hrs,Always,5,"<15,000",No,No,4,No,5,5,,
05/28/2025 19:20:11,Yes,18,CM,4th,Rented/shared room,3.23,No,>90%,3 to 4,1,4,Sometimes,Sometimes,Rarely,4,6–7 hrs,Always,5,"15,000–30,000",No,No,2,No,5,4,,
06/19/2025 23:10:51,Yes,41,BPT,Graduated,Rented/shared room,3.49,No,>90%,<1,2,2,Sometimes,Rarely,"Yes, regularly",4,5–6 hrs,Always,5,"30,000–50,000",No,No,1,Rarely,5,4,,
07/11/2025 11:11:57,Yes,25,CM,4th,At home with family,2.71,No,50%–75%,1 to 2,3,3,Sometimes,Sometimes,"Yes, regularly",3,7–8 hrs,Rarely,3,">50,000",Yes,No,3,Sometimes,5,4,,
07/26/2025 18:29:14,Yes,25,MBS,Graduated,At home with family,3.5,No,>90%,1 to 2,5,2,Always,Rarely,Sometimes,5,6–7 hrs,Always,3,"<15,000",No,Yes,2,Sometimes,5,4,,
05/13/2025 08:27:32,Yes,45,B.Tech in AI,Graduated,Rented/shared room,3.5,No,>90%,<1,5,5,Sometimes,Sometimes,Sometimes,2,5–6 hrs,Rarely,5,">50,000",Yes,Yes,1,No,5,3,,
06/27/2025 15:56:02,Yes,25,BBIS,5th,Rented/shared room,3.63,No,>90%,1 to 2,5,3,Frequently,Rarely,Rarely,4,6–7 hrs,Rarely,4,">50,000",No,Yes,5,No,3,5,,
06/15/2025 01:32:13,Yes,25,BBIS,4th,Hostel,3.0,Yes,75%–90%,1 to 2,2,1,Sometimes,Never,Rarely,3,7–8 hrs,Always,2,"15,000–30,000",Yes,Yes,5,Rarely,4,4,Not enough focus on skill development beyond theoretical knowledge.,
06/17/2025 14:18:52,Yes,25,BIT,4th,At home with family,3.3,No,>90%,1 to 2,1,3,Frequently,Frequently,Sometimes,1,5–6 hrs,Always,5,"15,000–30,000",No,No,2,Rarely,4,4,,
07/28/2025 12:36:58,Yes,23,Computer science,3rd,At home with family,3.74,No,75%–90%,1 to 2,4,3,Rarely,Sometimes,Sometimes,5,5–6 hrs,Frequently,2,">50,000",No,No,4,Rarely,4,4,,
07/28/2025 06:19:21,Yes,23,Environmental Engineering,4th,Hostel,3.14,No,75%–90%,<1,2,3,Frequently,Sometimes,Sometimes,2,7–8 hrs,Always,1,"30,000–50,000",No,No,2,Sometimes,3,5,The journey of a thousand miles begins with a single step.,
05/20/2025 17:28:15,Yes,20,BBA,5th,Hostel,3.36,No,>90%,>4,2,5,Frequently,Sometimes,No,4,<5 hrs,Rarely,5,"30,000–50,000",No,Yes,2,Significantly,5,4,,
06/05/2025 04:19:04,Yes,24,MPPM,Graduated,Hostel,3.33,Yes,75%–90%,1 to 2,1,3,Rarely,Sometimes,Sometimes,5,6–7 hrs,Always,5,"15,000–30,000",No,No,2,No,5,3,,
06/19/2025 11:51:32,Yes,23,BIM,Graduated,At home with family,3.69,No,>90%,1 to 2,1,1,Sometimes,Rarely,Rarely,4,7–8 hrs,Always,2,">50,000",Yes,No,4,Significantly,5,3,,
06/27/2025 15:52:22,Yes,22,MBS,4th,Other,3.46,No,>90%,1 to 2,4,5,Sometimes,Sometimes,Sometimes,4,>8 hrs,Always,5,"30,000–50,000",No,No,3,Sometimes,4,4,,
07/21/2025 00:24:01,Yes,24,Computer Engineering,Graduated,Alone,3.31,No,>90%,<1,1,3,Frequently,Rarely,Sometimes,5,5–6 hrs,Always,5,"<15,000",No,No,5,No,5,3,,
07/29/2025 16:26:50,Yes,24,B.Sc,4th,At home with family,3.42,No,>90%,<1,4,1,Rarely,Sometimes,Rarely,3,>8 hrs,Frequently,1,">50,000",Yes,No,4,No,3,4,,
07/08/2025 23:03:45,Yes,35,Btech AI,Graduated,Rented/shared room,3.07,No,<50%,1 to 2,1,3,Sometimes,Frequently,Sometimes,3,<5 hrs,Always,4,"30,000–50,000",No,Yes,3,Significantly,3,2,Maintaining mental health while pursuing academic excellence is crucial.,
06/16/2025 04:38:23,Yes,45,ME,3rd,Alone,3.18,No,75%–90%,<1,4,4,Rarely,Never,"Yes, regularly",3,>8 hrs,Always,5,">50,000",No,No,2,Rarely,5,2,,
06/30/2025 19:21:22,Yes,38,B.Tech in AI,Graduated,Alone,2.71,No,75%–90%,1 to 2,2,1,Frequently,Sometimes,Sometimes,5,7–8 hrs,Sometimes,3,">50,000",No,Yes,5,Sometimes,5,4,Lack of industry exposure in curriculum is concerning.,
07/12/2025 17:25:28,Yes,37,BSc.CS,1st,Rented/shared room,3.19,No,>90%,3 to 4,1,4,Frequently,Sometimes,Sometimes,4,6–7 hrs,Always,3,"<15,000",No,Yes,1,No,5,2,,
05/13/2025 08:31:19,Yes,19,Mechanical Engineering,2nd,Rented/shared room,2.95,No,>90%,1 to 2,2,4,Rarely,Never,Sometimes,1,6–7 hrs,Sometimes,2,"<15,000",Yes,No,1,No,5,4,,
06/03/2025 16:42:01,Yes,23,MPPM,4th,Rented/shared room,4.0,No,75%–90%,2 to 3,2,2,Always,Sometimes,Rarely,1,<5 hrs,Sometimes,4,"15,000–30,000",No,No,1,Rarely,4,2,,
06/02/2025 21:46:56,Yes,34,Mechanical Engineering,Graduated,Alone,3.58,Yes,75%–90%,<1,1,2,Frequently,Never,Sometimes,1,5–6 hrs,Frequently,2,">50,000",No,No,5,Rarely,5,4,,
07/10/2025 06:24:50,Yes,21,EMBA,Graduated,Hostel,3.36,Yes,50%–75%,1 to 2,2,3,Sometimes,Never,No,2,6–7 hrs,Sometimes,5,"30,000–50,000",Yes,No,5,No,5,5,Family expectations create additional pressure to perform well.,
07/15/2025 10:38:17,Yes,22,B.Tech,4th,Rented/shared room,4.0,No,>90%,<1,3,4,Frequently,Rarely,Rarely,2,6–7 hrs,Always,2,"30,000–50,000",No,Yes,4,No,5,5,,
07/25/2025 16:08:32,Yes,22,LLB,Graduated,Hostel,3.6,No,>90%,<1,3,1,Never,Never,Sometimes,1,7–8 hrs,Frequently,4,"30,000–50,000",No,No,2,Sometimes,5,4,,
